iter	Logloss
249	0.3365803583
250	0.3364607365
251	0.3363041591
252	0.3361287614
253	0.3360085094
254	0.3358613401
255	0.33580645
256	0.3356329232
257	0.335527502
258	0.3354195769
259	0.3352812983
260	0.3352453498
261	0.3352384302
262	0.3351190624
263	0.3349848035
264	0.3348121391
265	0.3347987892
266	0.3346264055
267	0.3344765141
268	0.3342657637
269	0.3341138231
270	0.334017933
271	0.3338260746
272	0.3337132903
273	0.3335237001
274	0.3335182334
275	0.3334012042
276	0.3332821501
277	0.3331309339
278	0.3329425627
279	0.3328073142
280	0.3327126254
281	0.3325779863
282	0.3325306015
283	0.3325249694
284	0.3323727099
285	0.332171695
286	0.3319883641
287	0.3318607052
288	0.3317163919
289	0.3316305958
290	0.3316270041
291	0.3315265303
292	0.3314259615
293	0.3313088771
294	0.3312743374
295	0.3310834106
296	0.3310812358
297	0.330860201
298	0.3306785362
299	0.3305029428
300	0.3303762666
301	0.3301681128
302	0.3300692355
303	0.3299595413
304	0.3298492178
305	0.3296600252
306	0.3295069101
307	0.3294048479
308	0.3292518906
309	0.3291340855
310	0.3290803489
311	0.329000862
312	0.3288206734
313	0.3287326151
314	0.3286327063
315	0.3285569893
316	0.328423415
317	0.3282984617
318	0.3281704514
319	0.3280682198
320	0.3279717423
321	0.3277584132
322	0.3275937967
