iter	Logloss
0	0.6416114864
1	0.5987403172
2	0.567000849
3	0.5412036629
4	0.5183796336
5	0.4988610346
6	0.4823791372
7	0.4695471573
8	0.459006459
9	0.4482256606
10	0.4395036762
11	0.4309349947
12	0.4235953137
13	0.4185810539
14	0.4138834627
15	0.4102892654
16	0.4064634828
17	0.4021713974
18	0.3993394714
19	0.3963630568
20	0.3938194905
21	0.3909521242
22	0.389043107
23	0.387058577
24	0.3856176423
25	0.3842649637
26	0.3831357057
27	0.3821113335
28	0.3809638374
29	0.3799307922
30	0.3789772971
31	0.3778866281
32	0.3771131684
33	0.3763681778
34	0.3754618805
35	0.374941153
36	0.3742693411
37	0.3736938411
38	0.372890043
39	0.372244069
40	0.3718508367
41	0.3715507637
42	0.3712058062
43	0.3705654997
44	0.3702913785
45	0.3697704897
46	0.3693107694
47	0.369037095
48	0.3685369305
49	0.3681074703
50	0.3678521263
51	0.3675724273
52	0.3672181807
53	0.3669124572
54	0.3667200292
55	0.3663681981
56	0.3660780221
57	0.3657523048
58	0.3654730538
59	0.3651757382
60	0.3647647589
61	0.3645777254
62	0.3642652658
63	0.3640170265
64	0.3638756314
65	0.3636557274
66	0.3633939825
67	0.363147151
68	0.3629884425
69	0.3627451296
70	0.3624642838
71	0.3621283533
72	0.3618856364
73	0.3615955428
74	0.3613655637
75	0.3612343346
76	0.3611166623
77	0.3609976772
78	0.3608166296
79	0.3607023856
80	0.3605680426
81	0.3603228635
82	0.3603001895
83	0.3601707418
84	0.3600196477
85	0.359846834
86	0.3596135867
87	0.3594699794
88	0.3592675983
89	0.3591110204
90	0.3589589335
91	0.3587796494
92	0.3585876956
93	0.3584771055
94	0.3583106426
95	0.3580282466
96	0.357902807
97	0.3576992811
98	0.3575790255
99	0.3575046343
100	0.357408322
101	0.3572252982
102	0.3570643586
103	0.3568998152
104	0.3568241831
105	0.3566884053
106	0.3564861135
107	0.3562879444
108	0.3560844248
109	0.3558711741
110	0.355591296
111	0.3554717315
112	0.3552911633
113	0.3551052791
114	0.3550001334
115	0.3548616568
116	0.3547183504
117	0.3546407381
118	0.3545414448
119	0.3544054768
120	0.3542614537
121	0.3541525614
122	0.3540099295
123	0.3538456754
124	0.3537176993
125	0.3535928815
126	0.3534960109
127	0.3533792184
128	0.3531886952
129	0.3530313332
130	0.3529104373
131	0.3528588477
132	0.3527406112
133	0.3525783076
134	0.3523239438
135	0.352187086
136	0.3520464675
137	0.3519090942
138	0.3517396477
139	0.3517010873
140	0.351607043
141	0.3514311213
142	0.3513681106
143	0.351202019
144	0.3510821917
145	0.350891588
146	0.3507920004
147	0.3507023821
148	0.3506066979
149	0.350515546
150	0.3503889966
151	0.3502963746
152	0.3500728651
153	0.349951279
154	0.3499240005
155	0.3498096092
156	0.3496659638
157	0.3495617282
158	0.3493166941
159	0.349186792
160	0.3490577005
161	0.348916401
162	0.3487933797
163	0.3486532064
164	0.348589845
165	0.3484416485
166	0.3483568621
167	0.348229375
168	0.3480649628
169	0.3479582725
170	0.3477951228
171	0.3475863534
172	0.3474718606
173	0.347329905
174	0.3471499439
175	0.3469190071
176	0.3468069348
177	0.34675651
178	0.3465819695
179	0.3464012917
180	0.3462096076
181	0.3460340019
182	0.3458535487
183	0.3456817889
184	0.3454985861
185	0.3453584762
186	0.3452281018
187	0.3451249305
188	0.3449464865
189	0.3447446715
190	0.3445599616
191	0.344308564
192	0.3441568026
193	0.3439652454
194	0.3438788495
195	0.3437158344
196	0.3435506708
197	0.3433592667
198	0.3431695255
199	0.3430578428
200	0.3428473048
201	0.3428398931
202	0.3427325336
203	0.3425913094
204	0.3424598496
205	0.3422861127
206	0.3420095703
207	0.3418793886
208	0.3417553243
209	0.3417274913
210	0.3415933254
211	0.341370403
212	0.3412487301
213	0.3410908867
214	0.3409216566
215	0.3407464652
216	0.3406130452
217	0.3406013599
218	0.3404640577
219	0.3404360184
220	0.3402692159
221	0.3400695142
222	0.3398986776
223	0.33989457
224	0.3397529415
225	0.339742566
226	0.3397132381
227	0.3394632761
228	0.3393033081
229	0.3392182634
230	0.3390125543
231	0.3387859324
232	0.3386532082
233	0.3386305037
234	0.3386264861
235	0.3385149071
236	0.3383162768
237	0.3381946392
238	0.3381640077
239	0.3381434039
240	0.3379831612
241	0.3377780246
242	0.3376431246
243	0.3375040406
244	0.3373486625
245	0.3371834557
246	0.3370113727
247	0.336863915
248	0.3367283505
